index,name,type,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_kind,source,source_crop_x,source_crop_y,source_component,source_x,source_y,source_w,source_h,area,source_count,hash,image
413,"wall_0413",wall,127,103,848,1217,127,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_038_capture_0105.png",0,0,1,0,9,127,103,5210,1,f734194e3b2a9b5b47afcd5152e8d83c55d13026,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0413.png"
355,"wall_0355",wall,53,110,977,1217,53,110,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_018_capture_0033.png",0,0,2,0,2,53,110,3656,1,4995b80afa1d984f476e431f234ff16cf3371ce4,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0355.png"
56,"wall_0056",wall,96,110,1032,1217,96,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0004.png",0,96,2,0,122,96,110,4827,3,c9bded48b4224e65a76a93554da0c501982aaf96,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0056.png"
418,"wall_0418",wall,96,110,1130,1217,96,110,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_040_capture_0107.png",0,0,2,0,2,96,110,4605,1,a44be12037824133e2a5abf834b01d583eb52020,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0418.png"
61,"wall_0061",wall,101,110,1228,1217,101,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0006.png",0,96,2,0,122,101,110,5238,2,5dd10ea6cc54d1a9851178851757099647dd9726,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0061.png"
71,"wall_0071",wall,108,110,1331,1217,108,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0015.png",0,96,2,0,122,108,110,5762,2,01a80e7f4ef2175b998a26f32e824b408ee99237,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0071.png"
319,"wall_0319",wall,108,110,1441,1217,108,110,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_005_capture_0008.png",0,0,2,0,2,108,110,5730,1,7bb9cd9760aa18c399bbcebda9dcdcec7c0d567d,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0319.png"
76,"wall_0076",wall,112,110,1551,1217,112,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0017.png",0,96,2,0,122,112,110,6324,2,784d42bd5ca8c731a96967ed188408f556d90800,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0076.png"
122,"wall_0122",wall,127,110,1665,1217,127,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0002.png",0,96,2,0,122,127,110,5741,1,9e5aa02dcabed0f36055d7d1df46d4335597b49f,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0122.png"
383,"wall_0383",wall,127,110,1794,1217,127,110,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_026_capture_0058.png",0,0,2,0,2,127,110,6363,1,405aab5f09f2fc704d5c2276fb37744feb6192f9,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0383.png"
416,"wall_0416",wall,127,110,2,1329,127,110,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_039_capture_0106.png",0,0,2,0,2,127,110,5108,1,8da29bc3d1e3fa0828cbc95ab67b8d8e7a7a9b49,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0416.png"
249,"wall_0249",wall,131,110,131,1329,131,110,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0053.png",0,96,2,0,122,131,110,6296,1,0af5ca87ea1779df2470e420aa50ce6ea39c6a62,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0249.png"
248,"wall_0248",wall,16,120,264,1329,16,120,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0053.png",0,96,1,160,120,16,120,1549,2,18ec2cca2b852b913a147dc6cbd37df40e8601da,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0248.png"
28,"wall_0028",wall,24,120,282,1329,24,120,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0021.png",0,96,1,152,120,24,120,1955,3,591b36121eafe2a5cdaaf481fd22ecbbc7dfd37c,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0028.png"
93,"wall_0093",wall,24,120,308,1329,24,120,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0028.png",0,96,1,152,120,24,120,1833,5,5c72e78b48452436ddabffcdecb0b5fdd163298d,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0093.png"
254,"wall_0254",wall,32,120,334,1329,32,120,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0054.png",0,96,1,144,120,32,120,2247,1,d7b1af382d5516a199534a047257117afb4c9a21,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0254.png"
84,"wall_0084",wall,45,120,368,1329,45,120,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0025.png",0,96,1,131,120,45,120,2422,2,47a96586aef55016ee51fa4632626469819f9d07,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0084.png"
